best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.2235861000013267}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.2235861000013267}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.22845522077654912}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.22845522077654912}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.22845522077654912}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.22845522077654912}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.22845522077654912}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.22874836266312076}
best_stat: {'epoch': 99, 'coco_eval_bbox': 0.22957599250730676}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2327235267179924}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.23344990995658835}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.23344990995658835}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.23344990995658835}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.23344990995658835}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.23344990995658835}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.23960940397369057}
best_stat: {'epoch': 127, 'coco_eval_bbox': 0.240327555893501}
best_stat: {'epoch': 127, 'coco_eval_bbox': 0.240327555893501}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24065984292875653}
best_stat: {'epoch': 137, 'coco_eval_bbox': 0.2471858192432969}
best_stat: {'epoch': 137, 'coco_eval_bbox': 0.2471858192432969}
best_stat: {'epoch': 137, 'coco_eval_bbox': 0.2471858192432969}
best_stat: {'epoch': 137, 'coco_eval_bbox': 0.2471858192432969}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 141, 'coco_eval_bbox': 0.247423375701341}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.24770690801400055}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 148, 'coco_eval_bbox': 0.25072202046463393}
best_stat: {'epoch': 154, 'coco_eval_bbox': 0.25128647637414386}
best_stat: {'epoch': 154, 'coco_eval_bbox': 0.25128647637414386}
best_stat: {'epoch': 154, 'coco_eval_bbox': 0.25128647637414386}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
best_stat: {'epoch': 157, 'coco_eval_bbox': 0.25293871142759794}
