best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0001409026638470023}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 1, 'coco_eval_bbox': 0.00025877213384337995}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.00027299657952894595}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.00033628498470207027}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.0005101798485546859}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.0005875024261436745}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.0009459885783101931}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.0009459885783101931}
best_stat: {'epoch': 21, 'coco_eval_bbox': 0.0010784260667665278}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.0012757599627224682}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.0025284148047864294}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.003541530363151626}
best_stat: {'epoch': 25, 'coco_eval_bbox': 0.008265468279561136}
best_stat: {'epoch': 26, 'coco_eval_bbox': 0.008541238413236105}
best_stat: {'epoch': 27, 'coco_eval_bbox': 0.010076340095569649}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.011304986576846643}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.013633541271755105}
best_stat: {'epoch': 30, 'coco_eval_bbox': 0.014928440082921123}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.015644466423710396}
best_stat: {'epoch': 32, 'coco_eval_bbox': 0.017481755493648703}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.01997567280267432}
best_stat: {'epoch': 34, 'coco_eval_bbox': 0.02037886705168132}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.021553175363486752}
best_stat: {'epoch': 36, 'coco_eval_bbox': 0.023439381581976806}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.026969014111982267}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.027408564905789048}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.028107364237876867}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.03089873137947325}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.034834597125282175}
best_stat: {'epoch': 42, 'coco_eval_bbox': 0.03620017023688357}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.03882989352346204}
best_stat: {'epoch': 44, 'coco_eval_bbox': 0.04310847167054059}
best_stat: {'epoch': 45, 'coco_eval_bbox': 0.047761143181983504}
best_stat: {'epoch': 46, 'coco_eval_bbox': 0.048879418711253536}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.05416193719190338}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.05764679119177323}
best_stat: {'epoch': 49, 'coco_eval_bbox': 0.05881829566653784}
best_stat: {'epoch': 50, 'coco_eval_bbox': 0.06440495339676508}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.06759156084686918}
best_stat: {'epoch': 52, 'coco_eval_bbox': 0.07026668131116985}
best_stat: {'epoch': 53, 'coco_eval_bbox': 0.0725996601618723}
best_stat: {'epoch': 53, 'coco_eval_bbox': 0.0725996601618723}
best_stat: {'epoch': 55, 'coco_eval_bbox': 0.07438764133102352}
best_stat: {'epoch': 56, 'coco_eval_bbox': 0.07774574602018182}
best_stat: {'epoch': 57, 'coco_eval_bbox': 0.07944750381358524}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.08655653089788719}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.08655653089788719}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.08655653089788719}
best_stat: {'epoch': 61, 'coco_eval_bbox': 0.08925409267096353}
best_stat: {'epoch': 61, 'coco_eval_bbox': 0.08925409267096353}
best_stat: {'epoch': 63, 'coco_eval_bbox': 0.09420686819136075}
best_stat: {'epoch': 63, 'coco_eval_bbox': 0.09420686819136075}
best_stat: {'epoch': 65, 'coco_eval_bbox': 0.0968964225778986}
best_stat: {'epoch': 66, 'coco_eval_bbox': 0.09960433183185662}
best_stat: {'epoch': 67, 'coco_eval_bbox': 0.10337535232127033}
best_stat: {'epoch': 68, 'coco_eval_bbox': 0.10658063310209537}
best_stat: {'epoch': 69, 'coco_eval_bbox': 0.11391118855326642}
best_stat: {'epoch': 69, 'coco_eval_bbox': 0.11391118855326642}
best_stat: {'epoch': 71, 'coco_eval_bbox': 0.12479406783944413}
best_stat: {'epoch': 71, 'coco_eval_bbox': 0.12479406783944413}
best_stat: {'epoch': 73, 'coco_eval_bbox': 0.12747116293256996}
best_stat: {'epoch': 74, 'coco_eval_bbox': 0.12863647920412621}
best_stat: {'epoch': 75, 'coco_eval_bbox': 0.13879523458333493}
best_stat: {'epoch': 76, 'coco_eval_bbox': 0.1477683235316961}
best_stat: {'epoch': 76, 'coco_eval_bbox': 0.1477683235316961}
best_stat: {'epoch': 78, 'coco_eval_bbox': 0.1481167507546414}
best_stat: {'epoch': 79, 'coco_eval_bbox': 0.14963089449111092}
best_stat: {'epoch': 80, 'coco_eval_bbox': 0.1549624527364792}
best_stat: {'epoch': 81, 'coco_eval_bbox': 0.15730834311925765}
best_stat: {'epoch': 81, 'coco_eval_bbox': 0.15730834311925765}
best_stat: {'epoch': 83, 'coco_eval_bbox': 0.16102485222238216}
best_stat: {'epoch': 84, 'coco_eval_bbox': 0.16379293036366424}
best_stat: {'epoch': 85, 'coco_eval_bbox': 0.16702316388179125}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.17514800409016756}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.17514800409016756}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.17514800409016756}
best_stat: {'epoch': 89, 'coco_eval_bbox': 0.18073403393379975}
best_stat: {'epoch': 90, 'coco_eval_bbox': 0.18869104449497898}
best_stat: {'epoch': 90, 'coco_eval_bbox': 0.18869104449497898}
best_stat: {'epoch': 92, 'coco_eval_bbox': 0.19558996639156903}
best_stat: {'epoch': 92, 'coco_eval_bbox': 0.19558996639156903}
best_stat: {'epoch': 94, 'coco_eval_bbox': 0.19874263694471503}
best_stat: {'epoch': 94, 'coco_eval_bbox': 0.19874263694471503}
best_stat: {'epoch': 94, 'coco_eval_bbox': 0.19874263694471503}
best_stat: {'epoch': 97, 'coco_eval_bbox': 0.20012436543327344}
best_stat: {'epoch': 98, 'coco_eval_bbox': 0.20280193632694207}
best_stat: {'epoch': 98, 'coco_eval_bbox': 0.20280193632694207}
best_stat: {'epoch': 98, 'coco_eval_bbox': 0.20280193632694207}
best_stat: {'epoch': 101, 'coco_eval_bbox': 0.20472267621055532}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.2116405246433983}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.2116405246433983}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.2116405246433983}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.2116405246433983}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.2116405246433983}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.21475442273668663}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.21475442273668663}
best_stat: {'epoch': 109, 'coco_eval_bbox': 0.21580138691847245}
best_stat: {'epoch': 109, 'coco_eval_bbox': 0.21580138691847245}
best_stat: {'epoch': 109, 'coco_eval_bbox': 0.21580138691847245}
best_stat: {'epoch': 109, 'coco_eval_bbox': 0.21580138691847245}
best_stat: {'epoch': 113, 'coco_eval_bbox': 0.21955141308581294}
best_stat: {'epoch': 114, 'coco_eval_bbox': 0.22427202245030495}
best_stat: {'epoch': 114, 'coco_eval_bbox': 0.22427202245030495}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.23069641810088878}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.23069641810088878}
best_stat: {'epoch': 118, 'coco_eval_bbox': 0.2379359813657125}
best_stat: {'epoch': 119, 'coco_eval_bbox': 0.2468501535748578}
