best_stat: {'epoch': 0, 'coco_eval_bbox': 0.0}
best_stat: {'epoch': 1, 'coco_eval_bbox': 5.197370130713859e-07}
best_stat: {'epoch': 2, 'coco_eval_bbox': 0.0003399962983316379}
best_stat: {'epoch': 3, 'coco_eval_bbox': 0.0006345818778154839}
best_stat: {'epoch': 4, 'coco_eval_bbox': 0.0012244912969550496}
best_stat: {'epoch': 5, 'coco_eval_bbox': 0.0014979045231125906}
best_stat: {'epoch': 6, 'coco_eval_bbox': 0.0017683759654886903}
best_stat: {'epoch': 7, 'coco_eval_bbox': 0.0020735477903354262}
best_stat: {'epoch': 8, 'coco_eval_bbox': 0.0027028466905796708}
best_stat: {'epoch': 9, 'coco_eval_bbox': 0.003727919133107132}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.0052310592699660345}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.0052310592699660345}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.0052310592699660345}
best_stat: {'epoch': 10, 'coco_eval_bbox': 0.0052310592699660345}
best_stat: {'epoch': 14, 'coco_eval_bbox': 0.006308276264357903}
best_stat: {'epoch': 15, 'coco_eval_bbox': 0.010169492870360938}
best_stat: {'epoch': 16, 'coco_eval_bbox': 0.01737465090262826}
best_stat: {'epoch': 17, 'coco_eval_bbox': 0.026467746315453868}
best_stat: {'epoch': 18, 'coco_eval_bbox': 0.029689067715838686}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.035057820961512574}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.035057820961512574}
best_stat: {'epoch': 19, 'coco_eval_bbox': 0.035057820961512574}
best_stat: {'epoch': 22, 'coco_eval_bbox': 0.048822682269287966}
best_stat: {'epoch': 23, 'coco_eval_bbox': 0.06156929589536301}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.063727416455952}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.063727416455952}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.063727416455952}
best_stat: {'epoch': 24, 'coco_eval_bbox': 0.063727416455952}
best_stat: {'epoch': 28, 'coco_eval_bbox': 0.0652093860365923}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.06917508728430351}
best_stat: {'epoch': 29, 'coco_eval_bbox': 0.06917508728430351}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.0757666727082411}
best_stat: {'epoch': 31, 'coco_eval_bbox': 0.0757666727082411}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.08391766226745372}
best_stat: {'epoch': 33, 'coco_eval_bbox': 0.08391766226745372}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.08973862613176593}
best_stat: {'epoch': 35, 'coco_eval_bbox': 0.08973862613176593}
best_stat: {'epoch': 37, 'coco_eval_bbox': 0.10336274033675749}
best_stat: {'epoch': 38, 'coco_eval_bbox': 0.1067527214621288}
best_stat: {'epoch': 39, 'coco_eval_bbox': 0.10683461146782315}
best_stat: {'epoch': 40, 'coco_eval_bbox': 0.11356712037766988}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.12403942527631744}
best_stat: {'epoch': 41, 'coco_eval_bbox': 0.12403942527631744}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.12996864317888512}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.12996864317888512}
best_stat: {'epoch': 43, 'coco_eval_bbox': 0.12996864317888512}
best_stat: {'epoch': 46, 'coco_eval_bbox': 0.13232464301113386}
best_stat: {'epoch': 47, 'coco_eval_bbox': 0.13372045798577223}
best_stat: {'epoch': 48, 'coco_eval_bbox': 0.1380195999046901}
best_stat: {'epoch': 49, 'coco_eval_bbox': 0.14214462128463598}
best_stat: {'epoch': 50, 'coco_eval_bbox': 0.14245295824416884}
best_stat: {'epoch': 51, 'coco_eval_bbox': 0.14507703731208477}
best_stat: {'epoch': 52, 'coco_eval_bbox': 0.14897405440836284}
best_stat: {'epoch': 53, 'coco_eval_bbox': 0.15258151769983275}
best_stat: {'epoch': 53, 'coco_eval_bbox': 0.15258151769983275}
best_stat: {'epoch': 55, 'coco_eval_bbox': 0.1687192375621655}
best_stat: {'epoch': 56, 'coco_eval_bbox': 0.17822136626042132}
best_stat: {'epoch': 57, 'coco_eval_bbox': 0.18477545090808697}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.18556445044255426}
best_stat: {'epoch': 58, 'coco_eval_bbox': 0.18556445044255426}
best_stat: {'epoch': 60, 'coco_eval_bbox': 0.1871717857903097}
