best_stat: {'epoch': 84, 'coco_eval_bbox': 0.13556718481632785}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.15100187634282689}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.15100187634282689}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.15100187634282689}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.15100187634282689}
best_stat: {'epoch': 90, 'coco_eval_bbox': 0.15327042045025394}
best_stat: {'epoch': 91, 'coco_eval_bbox': 0.16646553346967477}
best_stat: {'epoch': 92, 'coco_eval_bbox': 0.16824241316119004}
best_stat: {'epoch': 92, 'coco_eval_bbox': 0.16824241316119004}
best_stat: {'epoch': 94, 'coco_eval_bbox': 0.17870209411137108}
best_stat: {'epoch': 95, 'coco_eval_bbox': 0.1847410587954505}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.19090103985991497}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.19478892852205051}
best_stat: {'epoch': 102, 'coco_eval_bbox': 0.19478892852205051}
best_stat: {'epoch': 104, 'coco_eval_bbox': 0.20227226896869605}
best_stat: {'epoch': 105, 'coco_eval_bbox': 0.2066767032907162}
best_stat: {'epoch': 105, 'coco_eval_bbox': 0.2066767032907162}
best_stat: {'epoch': 105, 'coco_eval_bbox': 0.2066767032907162}
best_stat: {'epoch': 105, 'coco_eval_bbox': 0.2066767032907162}
best_stat: {'epoch': 105, 'coco_eval_bbox': 0.2066767032907162}
best_stat: {'epoch': 110, 'coco_eval_bbox': 0.2102198571423235}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.21606317922176174}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.21606317922176174}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.21606317922176174}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.21606317922176174}
best_stat: {'epoch': 115, 'coco_eval_bbox': 0.22226498284865198}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.22679172238999243}
best_stat: {'epoch': 117, 'coco_eval_bbox': 0.227817886393068}
best_stat: {'epoch': 117, 'coco_eval_bbox': 0.227817886393068}
best_stat: {'epoch': 117, 'coco_eval_bbox': 0.227817886393068}
best_stat: {'epoch': 117, 'coco_eval_bbox': 0.227817886393068}
best_stat: {'epoch': 117, 'coco_eval_bbox': 0.227817886393068}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.23035829123574605}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.23035829123574605}
best_stat: {'epoch': 124, 'coco_eval_bbox': 0.23476358227000232}
best_stat: {'epoch': 124, 'coco_eval_bbox': 0.23476358227000232}
best_stat: {'epoch': 126, 'coco_eval_bbox': 0.23840950464990196}
best_stat: {'epoch': 127, 'coco_eval_bbox': 0.24185070006509554}
best_stat: {'epoch': 128, 'coco_eval_bbox': 0.24249864892260992}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.24410255861440677}
best_stat: {'epoch': 130, 'coco_eval_bbox': 0.24718707121450206}
best_stat: {'epoch': 130, 'coco_eval_bbox': 0.24718707121450206}
best_stat: {'epoch': 130, 'coco_eval_bbox': 0.24718707121450206}
best_stat: {'epoch': 130, 'coco_eval_bbox': 0.24718707121450206}
best_stat: {'epoch': 130, 'coco_eval_bbox': 0.24718707121450206}
best_stat: {'epoch': 135, 'coco_eval_bbox': 0.25112658981718217}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 136, 'coco_eval_bbox': 0.25921339730776327}
best_stat: {'epoch': 142, 'coco_eval_bbox': 0.2610338619914195}
best_stat: {'epoch': 142, 'coco_eval_bbox': 0.2610338619914195}
best_stat: {'epoch': 142, 'coco_eval_bbox': 0.2610338619914195}
best_stat: {'epoch': 142, 'coco_eval_bbox': 0.2610338619914195}
best_stat: {'epoch': 142, 'coco_eval_bbox': 0.2610338619914195}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.26150991226104553}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.26150991226104553}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 149, 'coco_eval_bbox': 0.27002152009868957}
best_stat: {'epoch': 158, 'coco_eval_bbox': 0.27142077867004366}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
best_stat: {'epoch': 159, 'coco_eval_bbox': 0.2786947508593325}
