best_stat: {'epoch': 86, 'coco_eval_bbox': 0.295131463349515}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.3002285269184195}
best_stat: {'epoch': 88, 'coco_eval_bbox': 0.3018475902137142}
best_stat: {'epoch': 89, 'coco_eval_bbox': 0.3105610080977874}
best_stat: {'epoch': 89, 'coco_eval_bbox': 0.3105610080977874}
best_stat: {'epoch': 91, 'coco_eval_bbox': 0.3115755714760472}
best_stat: {'epoch': 91, 'coco_eval_bbox': 0.3115755714760472}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.3166480672408227}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.3166480672408227}
best_stat: {'epoch': 93, 'coco_eval_bbox': 0.3166480672408227}
best_stat: {'epoch': 96, 'coco_eval_bbox': 0.31979562464218486}
best_stat: {'epoch': 97, 'coco_eval_bbox': 0.3200299846486161}
best_stat: {'epoch': 97, 'coco_eval_bbox': 0.3200299846486161}
best_stat: {'epoch': 99, 'coco_eval_bbox': 0.32560132845446726}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.32782293554994213}
best_stat: {'epoch': 111, 'coco_eval_bbox': 0.3279231541862161}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.3320302277567663}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.3320302277567663}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.3320302277567663}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.3320302277567663}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
best_stat: {'epoch': 116, 'coco_eval_bbox': 0.33642126823102414}
