best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 86, 'coco_eval_bbox': 0.25985101656762305}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.2633300630911745}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.2633300630911745}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.2633300630911745}
best_stat: {'epoch': 106, 'coco_eval_bbox': 0.2633300630911745}
best_stat: {'epoch': 110, 'coco_eval_bbox': 0.26703088829120375}
best_stat: {'epoch': 110, 'coco_eval_bbox': 0.26703088829120375}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.2680462886152011}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.2680462886152011}
best_stat: {'epoch': 112, 'coco_eval_bbox': 0.2680462886152011}
