best_stat: {'epoch': 82, 'coco_eval_bbox': 0.24092035123440045}
best_stat: {'epoch': 82, 'coco_eval_bbox': 0.24092035123440045}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 87, 'coco_eval_bbox': 0.2412311703760071}
best_stat: {'epoch': 97, 'coco_eval_bbox': 0.24304460788996043}
best_stat: {'epoch': 97, 'coco_eval_bbox': 0.24304460788996043}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 100, 'coco_eval_bbox': 0.2538661017311398}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 107, 'coco_eval_bbox': 0.2632138502052459}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.26790405829890246}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.26790405829890246}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.26790405829890246}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.26790405829890246}
best_stat: {'epoch': 122, 'coco_eval_bbox': 0.26790405829890246}
best_stat: {'epoch': 127, 'coco_eval_bbox': 0.27320359179148407}
best_stat: {'epoch': 127, 'coco_eval_bbox': 0.27320359179148407}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.2760149717115666}
best_stat: {'epoch': 129, 'coco_eval_bbox': 0.2760149717115666}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 131, 'coco_eval_bbox': 0.2777068533872235}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 138, 'coco_eval_bbox': 0.2799739683943883}
best_stat: {'epoch': 144, 'coco_eval_bbox': 0.28173487643034245}
best_stat: {'epoch': 144, 'coco_eval_bbox': 0.28173487643034245}
best_stat: {'epoch': 146, 'coco_eval_bbox': 0.2819192340916838}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 147, 'coco_eval_bbox': 0.28891714080866937}
best_stat: {'epoch': 155, 'coco_eval_bbox': 0.2889502598077611}
best_stat: {'epoch': 156, 'coco_eval_bbox': 0.2911953370354829}
best_stat: {'epoch': 156, 'coco_eval_bbox': 0.2911953370354829}
best_stat: {'epoch': 156, 'coco_eval_bbox': 0.2911953370354829}
best_stat: {'epoch': 156, 'coco_eval_bbox': 0.2911953370354829}
best_stat: {'epoch': 160, 'coco_eval_bbox': 0.29251680894891946}
best_stat: {'epoch': 160, 'coco_eval_bbox': 0.29251680894891946}
best_stat: {'epoch': 160, 'coco_eval_bbox': 0.29251680894891946}
best_stat: {'epoch': 163, 'coco_eval_bbox': 0.2983663790813542}
best_stat: {'epoch': 163, 'coco_eval_bbox': 0.2983663790813542}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
best_stat: {'epoch': 165, 'coco_eval_bbox': 0.29900263228498075}
