best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.005413342668774609}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.013122475764337081}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.03281252406962888}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.04984892201158501}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.06168915645442794}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.06168915645442794}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.06168915645442794}
best_stat:  {'epoch': 7, 'coco_eval_bbox': 0.06532633535673851}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.06806842653602792}
best_stat:  {'epoch': 9, 'coco_eval_bbox': 0.0864090909575367}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.09137423642776346}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.10222099589194135}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.10875294958613163}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.12629473692906185}
best_stat:  {'epoch': 14, 'coco_eval_bbox': 0.12638746106291193}
best_stat:  {'epoch': 14, 'coco_eval_bbox': 0.12638746106291193}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.16066484289339555}
best_stat:  {'epoch': 17, 'coco_eval_bbox': 0.17329256253076378}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.17369499908267585}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.17369499908267585}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.17369499908267585}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.19401410005821684}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.19401410005821684}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21022430326285574}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21022430326285574}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.21626331887942257}
best_stat:  {'epoch': 25, 'coco_eval_bbox': 0.21626331887942257}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.22683941518909348}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.22683941518909348}
best_stat:  {'epoch': 27, 'coco_eval_bbox': 0.22683941518909348}
best_stat:  {'epoch': 30, 'coco_eval_bbox': 0.2291776751728224}
best_stat:  {'epoch': 31, 'coco_eval_bbox': 0.23498500379495463}
best_stat:  {'epoch': 31, 'coco_eval_bbox': 0.23498500379495463}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 33, 'coco_eval_bbox': 0.2610853329696993}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.2787579675054412}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.2787579675054412}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.2787579675054412}
best_stat:  {'epoch': 39, 'coco_eval_bbox': 0.2787579675054412}
best_stat:  {'epoch': 43, 'coco_eval_bbox': 0.28115481065397985}
