best_stat:  {'epoch': 0, 'coco_eval_bbox': 0.0037311184025070184}
best_stat:  {'epoch': 1, 'coco_eval_bbox': 0.014583841405718643}
best_stat:  {'epoch': 2, 'coco_eval_bbox': 0.03955823788850277}
best_stat:  {'epoch': 3, 'coco_eval_bbox': 0.050047941899198145}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.05492795427784892}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.05492795427784892}
best_stat:  {'epoch': 4, 'coco_eval_bbox': 0.05492795427784892}
best_stat:  {'epoch': 7, 'coco_eval_bbox': 0.07089234689547794}
best_stat:  {'epoch': 8, 'coco_eval_bbox': 0.07606236111074449}
best_stat:  {'epoch': 9, 'coco_eval_bbox': 0.08934152567531914}
best_stat:  {'epoch': 10, 'coco_eval_bbox': 0.08990813175780758}
best_stat:  {'epoch': 11, 'coco_eval_bbox': 0.09791641306210516}
best_stat:  {'epoch': 12, 'coco_eval_bbox': 0.09887327580189492}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.11722361250617479}
best_stat:  {'epoch': 13, 'coco_eval_bbox': 0.11722361250617479}
best_stat:  {'epoch': 15, 'coco_eval_bbox': 0.12627866195978488}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.13844748057479472}
best_stat:  {'epoch': 16, 'coco_eval_bbox': 0.13844748057479472}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.161678739764864}
best_stat:  {'epoch': 18, 'coco_eval_bbox': 0.161678739764864}
best_stat:  {'epoch': 20, 'coco_eval_bbox': 0.175205539865524}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.18655942942003456}
best_stat:  {'epoch': 21, 'coco_eval_bbox': 0.18655942942003456}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21005534960493294}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21005534960493294}
best_stat:  {'epoch': 23, 'coco_eval_bbox': 0.21005534960493294}
