best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 76, 'coco_eval_bbox': 0.3446409249553761}
best_stat:  {'epoch': 101, 'coco_eval_bbox': 0.34725480780807044}
best_stat:  {'epoch': 101, 'coco_eval_bbox': 0.34725480780807044}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.34741727207517964}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 111, 'coco_eval_bbox': 0.3506090319188575}
best_stat:  {'epoch': 124, 'coco_eval_bbox': 0.3536762890019563}
best_stat:  {'epoch': 124, 'coco_eval_bbox': 0.3536762890019563}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.35613948939992884}
best_stat:  {'epoch': 126, 'coco_eval_bbox': 0.35613948939992884}
