best_stat:  {'epoch': 70, 'coco_eval_bbox': 0.3610147841812429}
best_stat:  {'epoch': 85, 'coco_eval_bbox': 0.36159555687606554}
best_stat:  {'epoch': 85, 'coco_eval_bbox': 0.36159555687606554}
best_stat:  {'epoch': 85, 'coco_eval_bbox': 0.36159555687606554}
best_stat:  {'epoch': 88, 'coco_eval_bbox': 0.3631338446144859}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 89, 'coco_eval_bbox': 0.3705486108238555}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 95, 'coco_eval_bbox': 0.37190069857116015}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.3719156044450458}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.3719156044450458}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.3719156044450458}
best_stat:  {'epoch': 103, 'coco_eval_bbox': 0.3719156044450458}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 107, 'coco_eval_bbox': 0.37922875494989783}
best_stat:  {'epoch': 114, 'coco_eval_bbox': 0.38444669533243253}
best_stat:  {'epoch': 114, 'coco_eval_bbox': 0.38444669533243253}
best_stat:  {'epoch': 114, 'coco_eval_bbox': 0.38444669533243253}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
best_stat:  {'epoch': 117, 'coco_eval_bbox': 0.3846633154940078}
