best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3562930991892741}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3562930991892741}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3562930991892741}
best_stat:  {'epoch': 68, 'coco_eval_bbox': 0.3562930991892741}
best_stat:  {'epoch': 88, 'coco_eval_bbox': 0.3603436430584785}
best_stat:  {'epoch': 88, 'coco_eval_bbox': 0.3603436430584785}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 90, 'coco_eval_bbox': 0.36243054651365675}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
best_stat:  {'epoch': 99, 'coco_eval_bbox': 0.36414719235051274}
